planner,scenario,failure_reason,count,episode_rate
apf,A,consecutive_planning_failures,432,0.864
apf,B,consecutive_planning_failures,470,0.94
apf,C,consecutive_planning_failures,495,0.99
apf,C,max_steps,1,0.002
apf,D,consecutive_planning_failures,452,0.904
apf,D,max_steps,1,0.002
apf,E,consecutive_planning_failures,486,0.972
apf,E,max_steps,1,0.002
r2apf,A,consecutive_planning_failures,51,0.102
r2apf,B,consecutive_planning_failures,75,0.15
r2apf,C,consecutive_planning_failures,110,0.22
r2apf,D,consecutive_planning_failures,68,0.136
r2apf,E,consecutive_planning_failures,72,0.144
rapf,A,consecutive_planning_failures,111,0.222
rapf,B,consecutive_planning_failures,93,0.186
rapf,B,max_steps,1,0.002
rapf,C,consecutive_planning_failures,148,0.296
rapf,C,max_steps,2,0.004
rapf,D,consecutive_planning_failures,96,0.192
rapf,E,consecutive_planning_failures,120,0.24
rapf,E,max_steps,2,0.004
